episode_date,episode_number,rating,rel_link,season_num,show,title,votes,formatted_date,formatted_votes
20 Jan. 2008,1,8.9,/title/tt0959621/,1,Breaking Bad,Pilot,"(19,556)",2008-01-20,19556
27 Jan. 2008,2,8.7,/title/tt1054724/,1,Breaking Bad,Cat's in the Bag...,"(13,758)",2008-01-27,13758
10 Feb. 2008,3,8.7,/title/tt1054725/,1,Breaking Bad,...And the Bag's in the River,"(13,331)",2008-02-10,13331
17 Feb. 2008,4,8.2,/title/tt1054726/,1,Breaking Bad,Cancer Man,"(12,983)",2008-02-17,12983
24 Feb. 2008,5,8.3,/title/tt1054727/,1,Breaking Bad,Gray Matter,"(12,690)",2008-02-24,12690
2 Mar. 2008,6,9.2,/title/tt1054728/,1,Breaking Bad,Crazy Handful of Nothin',"(14,631)",2008-03-02,14631
9 Mar. 2008,7,8.8,/title/tt1054729/,1,Breaking Bad,A No-Rough-Stuff-Type Deal,"(12,917)",2008-03-09,12917
8 Mar. 2009,1,8.7,/title/tt1232244/,2,Breaking Bad,Seven Thirty-Seven,"(11,488)",2009-03-08,11488
15 Mar. 2009,2,9.2,/title/tt1232249/,2,Breaking Bad,Grilled,"(13,555)",2009-03-15,13555
22 Mar. 2009,3,8.3,/title/tt1232250/,2,Breaking Bad,Bit by a Dead Bee,"(11,197)",2009-03-22,11197
29 Mar. 2009,4,8.1,/title/tt1232251/,2,Breaking Bad,Down,"(11,339)",2009-03-29,11339
5 Apr. 2009,5,8.3,/title/tt1232252/,2,Breaking Bad,Breakage,"(10,983)",2009-04-05,10983
12 Apr. 2009,6,8.8,/title/tt1232253/,2,Breaking Bad,Peekaboo,"(12,141)",2009-04-12,12141
19 Apr. 2009,7,8.7,/title/tt1232254/,2,Breaking Bad,Negro Y Azul,"(10,860)",2009-04-19,10860
26 Apr. 2009,8,9.0,/title/tt1232255/,2,Breaking Bad,Better Call Saul,"(12,786)",2009-04-26,12786
3 May 2009,9,8.9,/title/tt1232256/,2,Breaking Bad,4 Days Out,"(12,537)",2009-05-03,12537
10 May 2009,10,8.6,/title/tt1232245/,2,Breaking Bad,Over,"(10,649)",2009-05-10,10649
17 May 2009,11,8.8,/title/tt1232246/,2,Breaking Bad,Mandala,"(11,080)",2009-05-17,11080
24 May 2009,12,9.1,/title/tt1232247/,2,Breaking Bad,Phoenix,"(12,478)",2009-05-24,12478
31 May 2009,13,9.1,/title/tt1232248/,2,Breaking Bad,ABQ,"(12,545)",2009-05-31,12545
21 Mar. 2010,1,8.6,/title/tt1528116/,3,Breaking Bad,No Más,"(10,594)",2010-03-21,10594
28 Mar. 2010,2,8.7,/title/tt1615186/,3,Breaking Bad,Caballo sin Nombre,"(10,214)",2010-03-28,10214
4 Apr. 2010,3,8.4,/title/tt1615187/,3,Breaking Bad,I.F.T.,"(10,280)",2010-04-04,10280
11 Apr. 2010,4,8.1,/title/tt1615554/,3,Breaking Bad,Green Light,"(10,538)",2010-04-11,10538
18 Apr. 2010,5,8.7,/title/tt1615555/,3,Breaking Bad,Más,"(9,921)",2010-04-18,9921
25 Apr. 2010,6,9.2,/title/tt1615556/,3,Breaking Bad,Sunset,"(12,037)",2010-04-25,12037
2 May 2010,7,9.5,/title/tt1615944/,3,Breaking Bad,One Minute,"(15,011)",2010-05-02,15011
9 May 2010,8,8.8,/title/tt1615557/,3,Breaking Bad,I See You,"(10,325)",2010-05-09,10325
16 May 2010,9,8.4,/title/tt1615558/,3,Breaking Bad,Kafkaesque,"(10,262)",2010-05-16,10262
23 May 2010,10,7.6,/title/tt1615550/,3,Breaking Bad,Fly,"(17,983)",2010-05-23,17983
30 May 2010,11,8.5,/title/tt1615551/,3,Breaking Bad,Abiquiu,"(10,139)",2010-05-30,10139
6 Jun. 2010,12,9.4,/title/tt1615552/,3,Breaking Bad,Half Measures,"(14,417)",2010-06-06,14417
13 Jun. 2010,13,9.5,/title/tt1615553/,3,Breaking Bad,Full Measure,"(16,282)",2010-06-13,16282
17 Jul. 2011,1,9.1,/title/tt1683084/,4,Breaking Bad,Box Cutter,"(13,102)",2011-07-17,13102
24 Jul. 2011,2,8.2,/title/tt1683089/,4,Breaking Bad,Thirty-Eight Snub,"(10,734)",2011-07-24,10734
31 Jul. 2011,3,7.9,/title/tt1683090/,4,Breaking Bad,Open House,"(10,840)",2011-07-31,10840
7 Aug. 2011,4,8.7,/title/tt1683091/,4,Breaking Bad,Bullet Points,"(10,003)",2011-08-07,10003
14 Aug. 2011,5,8.7,/title/tt1683092/,4,Breaking Bad,Shotgun,"(10,041)",2011-08-14,10041
21 Aug. 2011,6,8.5,/title/tt1683093/,4,Breaking Bad,Cornered,"(10,172)",2011-08-21,10172
28 Aug. 2011,7,8.8,/title/tt1683094/,4,Breaking Bad,Problem Dog,"(10,656)",2011-08-28,10656
4 Sep. 2011,8,9.1,/title/tt1683095/,4,Breaking Bad,Hermanos,"(12,059)",2011-09-04,12059
11 Sep. 2011,9,8.8,/title/tt1683096/,4,Breaking Bad,Bug,"(10,746)",2011-09-11,10746
18 Sep. 2011,10,9.5,/title/tt1683085/,4,Breaking Bad,Salud,"(15,433)",2011-09-18,15433
25 Sep. 2011,11,9.5,/title/tt1683086/,4,Breaking Bad,Crawl Space,"(17,726)",2011-09-25,17726
2 Oct. 2011,12,9.4,/title/tt1683087/,4,Breaking Bad,End Times,"(13,651)",2011-10-02,13651
9 Oct. 2011,13,9.8,/title/tt1683088/,4,Breaking Bad,Face Off,"(33,426)",2011-10-09,33426
15 Jul. 2012,1,9.2,/title/tt2081647/,5,Breaking Bad,Live Free or Die,"(15,690)",2012-07-15,15690
22 Jul. 2012,2,8.8,/title/tt2301457/,5,Breaking Bad,Madrigal,"(12,948)",2012-07-22,12948
29 Jul. 2012,3,8.8,/title/tt2301459/,5,Breaking Bad,Hazard Pay,"(12,485)",2012-07-29,12485
5 Aug. 2012,4,8.8,/title/tt2301461/,5,Breaking Bad,Fifty-One,"(12,562)",2012-08-05,12562
12 Aug. 2012,5,9.5,/title/tt2301463/,5,Breaking Bad,Dead Freight,"(19,180)",2012-08-12,19180
19 Aug. 2012,6,8.8,/title/tt2301465/,5,Breaking Bad,Buyout,"(12,914)",2012-08-19,12914
26 Aug. 2012,7,9.4,/title/tt2301467/,5,Breaking Bad,Say My Name,"(16,637)",2012-08-26,16637
2 Sep. 2012,8,9.5,/title/tt2301469/,5,Breaking Bad,Gliding Over All,"(17,637)",2012-09-02,17637
11 Aug. 2013,9,9.4,/title/tt2301471/,5,Breaking Bad,Blood Money,"(17,159)",2013-08-11,17159
18 Aug. 2013,10,9.0,/title/tt2301443/,5,Breaking Bad,Buried,"(14,700)",2013-08-18,14700
25 Aug. 2013,11,9.5,/title/tt2301445/,5,Breaking Bad,Confessions,"(18,423)",2013-08-25,18423
1 Sep. 2013,12,8.9,/title/tt2301447/,5,Breaking Bad,Rabid Dog,"(15,368)",2013-09-01,15368
8 Sep. 2013,13,9.7,/title/tt2301449/,5,Breaking Bad,To'hajiilee,"(26,560)",2013-09-08,26560
15 Sep. 2013,14,9.9,/title/tt2301451/,5,Breaking Bad,Ozymandias,"(100,678)",2013-09-15,100678
22 Sep. 2013,15,9.5,/title/tt2301453/,5,Breaking Bad,Granite State,"(26,732)",2013-09-22,26732
29 Sep. 2013,16,9.9,/title/tt2301455/,5,Breaking Bad,Felina,"(72,515)",2013-09-29,72515
17 Apr. 2011,1,9.1,/title/tt1480055/,1,Game of Thrones,Winter Is Coming,"(35,713)",2011-04-17,35713
24 Apr. 2011,2,8.8,/title/tt1668746/,1,Game of Thrones,The Kingsroad,"(27,046)",2011-04-24,27046
1 May 2011,3,8.7,/title/tt1829962/,1,Game of Thrones,Lord Snow,"(25,550)",2011-05-01,25550
8 May 2011,4,8.8,/title/tt1829963/,1,Game of Thrones,"Cripples, Bastards, and Broken Things","(24,201)",2011-05-08,24201
15 May 2011,5,9.1,/title/tt1829964/,1,Game of Thrones,The Wolf and the Lion,"(25,243)",2011-05-15,25243
22 May 2011,6,9.2,/title/tt1837862/,1,Game of Thrones,A Golden Crown,"(24,976)",2011-05-22,24976
29 May 2011,7,9.3,/title/tt1837863/,1,Game of Thrones,You Win or You Die,"(25,484)",2011-05-29,25484
5 Jun. 2011,8,9.1,/title/tt1837864/,1,Game of Thrones,The Pointy End,"(23,608)",2011-06-05,23608
12 Jun. 2011,9,9.6,/title/tt1851398/,1,Game of Thrones,Baelor,"(33,474)",2011-06-12,33474
19 Jun. 2011,10,9.5,/title/tt1851397/,1,Game of Thrones,Fire and Blood,"(29,369)",2011-06-19,29369
1 Apr. 2012,1,8.9,/title/tt1971833/,2,Game of Thrones,The North Remembers,"(22,949)",2012-04-01,22949
8 Apr. 2012,2,8.6,/title/tt2069318/,2,Game of Thrones,The Night Lands,"(21,666)",2012-04-08,21666
15 Apr. 2012,3,8.9,/title/tt2070135/,2,Game of Thrones,What Is Dead May Never Die,"(21,415)",2012-04-15,21415
22 Apr. 2012,4,8.9,/title/tt2069319/,2,Game of Thrones,Garden of Bones,"(20,680)",2012-04-22,20680
29 Apr. 2012,5,8.9,/title/tt2074658/,2,Game of Thrones,The Ghost of Harrenhal,"(20,849)",2012-04-29,20849
6 May 2012,6,9.1,/title/tt2085238/,2,Game of Thrones,The Old Gods and the New,"(21,842)",2012-05-06,21842
13 May 2012,7,9.0,/title/tt2085239/,2,Game of Thrones,A Man Without Honor,"(21,259)",2012-05-13,21259
20 May 2012,8,8.9,/title/tt2085240/,2,Game of Thrones,The Prince of Winterfell,"(20,991)",2012-05-20,20991
27 May 2012,9,9.7,/title/tt2084342/,2,Game of Thrones,Blackwater,"(36,946)",2012-05-27,36946
3 Jun. 2012,10,9.5,/title/tt2112510/,2,Game of Thrones,Valar Morghulis,"(26,091)",2012-06-03,26091
31 Mar. 2013,1,8.9,/title/tt2178782/,3,Game of Thrones,Valar Dohaeris,"(23,032)",2013-03-31,23032
7 Apr. 2013,2,8.7,/title/tt2178772/,3,Game of Thrones,"Dark Wings, Dark Words","(20,751)",2013-04-07,20751
14 Apr. 2013,3,8.9,/title/tt2178802/,3,Game of Thrones,Walk of Punishment,"(20,932)",2013-04-14,20932
21 Apr. 2013,4,9.6,/title/tt2178798/,3,Game of Thrones,And Now His Watch Is Ended,"(28,778)",2013-04-21,28778
28 Apr. 2013,5,9.1,/title/tt2178788/,3,Game of Thrones,Kissed by Fire,"(21,321)",2013-04-28,21321
5 May 2013,6,8.9,/title/tt2178812/,3,Game of Thrones,The Climb,"(21,196)",2013-05-05,21196
12 May 2013,7,8.8,/title/tt2178814/,3,Game of Thrones,The Bear and the Maiden Fair,"(20,441)",2013-05-12,20441
19 May 2013,8,9.1,/title/tt2178806/,3,Game of Thrones,Second Sons,"(21,033)",2013-05-19,21033
2 Jun. 2013,9,9.9,/title/tt2178784/,3,Game of Thrones,The Rains of Castamere,"(81,474)",2013-06-02,81474
9 Jun. 2013,10,9.2,/title/tt2178796/,3,Game of Thrones,Mhysa,"(23,873)",2013-06-09,23873
6 Apr. 2014,1,9.1,/title/tt2816136/,4,Game of Thrones,Two Swords,"(27,446)",2014-04-06,27446
13 Apr. 2014,2,9.7,/title/tt2832378/,4,Game of Thrones,The Lion and the Rose,"(43,419)",2014-04-13,43419
20 Apr. 2014,3,8.9,/title/tt2972426/,4,Game of Thrones,Breaker of Chains,"(22,911)",2014-04-20,22911
27 Apr. 2014,4,8.9,/title/tt2972428/,4,Game of Thrones,Oathkeeper,"(21,972)",2014-04-27,21972
4 May 2014,5,8.8,/title/tt3060856/,4,Game of Thrones,First of His Name,"(21,233)",2014-05-04,21233
11 May 2014,6,9.7,/title/tt3060910/,4,Game of Thrones,The Laws of Gods and Men,"(39,414)",2014-05-11,39414
18 May 2014,7,9.2,/title/tt3060876/,4,Game of Thrones,Mockingbird,"(23,735)",2014-05-18,23735
1 Jun. 2014,8,9.7,/title/tt3060782/,4,Game of Thrones,The Mountain and the Viper,"(43,275)",2014-06-01,43275
8 Jun. 2014,9,9.6,/title/tt3060858/,4,Game of Thrones,The Watchers on the Wall,"(36,068)",2014-06-08,36068
15 Jun. 2014,10,9.7,/title/tt3060860/,4,Game of Thrones,The Children,"(35,528)",2014-06-15,35528
12 Apr. 2015,1,8.6,/title/tt3658012/,5,Game of Thrones,The Wars to Come,"(24,293)",2015-04-12,24293
19 Apr. 2015,2,8.6,/title/tt3846626/,5,Game of Thrones,The House of Black and White,"(21,245)",2015-04-19,21245
26 Apr. 2015,3,8.6,/title/tt3866836/,5,Game of Thrones,High Sparrow,"(20,527)",2015-04-26,20527
3 May 2015,4,8.8,/title/tt3866838/,5,Game of Thrones,Sons of the Harpy,"(21,134)",2015-05-03,21134
10 May 2015,5,8.7,/title/tt3866840/,5,Game of Thrones,Kill the Boy,"(21,393)",2015-05-10,21393
17 May 2015,6,8.1,/title/tt3866842/,5,Game of Thrones,"Unbowed, Unbent, Unbroken","(24,349)",2015-05-17,24349
24 May 2015,7,9.1,/title/tt3866846/,5,Game of Thrones,The Gift,"(23,515)",2015-05-24,23515
31 May 2015,8,9.9,/title/tt3866850/,5,Game of Thrones,Hardhome,"(82,570)",2015-05-31,82570
7 Jun. 2015,9,9.5,/title/tt3866826/,5,Game of Thrones,The Dance of Dragons,"(35,874)",2015-06-07,35874
14 Jun. 2015,10,9.1,/title/tt3866862/,5,Game of Thrones,Mother's Mercy,"(34,816)",2015-06-14,34816
24 Apr. 2016,1,8.6,/title/tt3658014/,6,Game of Thrones,The Red Woman,"(33,855)",2016-04-24,33855
1 May 2016,2,9.4,/title/tt4077554/,6,Game of Thrones,Home,"(40,145)",2016-05-01,40145
8 May 2016,3,8.8,/title/tt4131606/,6,Game of Thrones,Oathbreaker,"(28,147)",2016-05-08,28147
15 May 2016,4,9.2,/title/tt4283016/,6,Game of Thrones,Book of the Stranger,"(30,320)",2016-05-15,30320
22 May 2016,5,9.7,/title/tt4283028/,6,Game of Thrones,The Door,"(60,435)",2016-05-22,60435
29 May 2016,6,8.5,/title/tt4283054/,6,Game of Thrones,Blood of My Blood,"(27,930)",2016-05-29,27930
5 Jun. 2016,7,8.7,/title/tt4283060/,6,Game of Thrones,The Broken Man,"(27,083)",2016-06-05,27083
12 Jun. 2016,8,8.5,/title/tt4283074/,6,Game of Thrones,No One,"(31,034)",2016-06-12,31034
19 Jun. 2016,9,9.9,/title/tt4283088/,6,Game of Thrones,Battle of the Bastards,"(178,075)",2016-06-19,178075
26 Jun. 2016,10,9.9,/title/tt4283094/,6,Game of Thrones,The Winds of Winter,"(122,997)",2016-06-26,122997
16 Jul. 2017,1,8.7,/title/tt5654088/,7,Game of Thrones,Dragonstone,"(43,734)",2017-07-16,43734
23 Jul. 2017,2,9.0,/title/tt5655178/,7,Game of Thrones,Stormborn,"(37,469)",2017-07-23,37469
30 Jul. 2017,3,9.3,/title/tt5775840/,7,Game of Thrones,The Queen's Justice,"(39,103)",2017-07-30,39103
6 Aug. 2017,4,9.8,/title/tt5775846/,7,Game of Thrones,The Spoils of War,"(75,207)",2017-08-06,75207
13 Aug. 2017,5,8.9,/title/tt5775854/,7,Game of Thrones,Eastwatch,"(37,154)",2017-08-13,37154
20 Aug. 2017,6,9.1,/title/tt5775864/,7,Game of Thrones,Beyond the Wall,"(54,638)",2017-08-20,54638
27 Aug. 2017,7,9.5,/title/tt5775874/,7,Game of Thrones,The Dragon and the Wolf,"(54,085)",2017-08-27,54085
14 Apr. 2019,1,7.7,/title/tt5924366/,8,Game of Thrones,Winterfell,"(110,345)",2019-04-14,110345
21 Apr. 2019,2,8.0,/title/tt6027908/,8,Game of Thrones,A Knight of the Seven Kingdoms,"(108,010)",2019-04-21,108010
28 Apr. 2019,3,7.6,/title/tt6027912/,8,Game of Thrones,The Long Night,"(186,194)",2019-04-28,186194
5 May 2019,4,5.6,/title/tt6027914/,8,Game of Thrones,The Last of the Starks,"(139,604)",2019-05-05,139604
12 May 2019,5,6.2,/title/tt6027916/,8,Game of Thrones,The Bells,"(162,233)",2019-05-12,162233
19 May 2019,6,4.3,/title/tt6027920/,8,Game of Thrones,The Iron Throne,"(191,195)",2019-05-19,191195
2 Jun. 2002,1,8.0,/title/tt0749451/,1,The Wire,The Target,"(3,820)",2002-06-02,3820
9 Jun. 2002,2,8.3,/title/tt0749448/,1,The Wire,The Detail,"(3,036)",2002-06-09,3036
16 Jun. 2002,3,8.2,/title/tt0749446/,1,The Wire,The Buys,"(2,849)",2002-06-16,2849
23 Jun. 2002,4,8.3,/title/tt0749437/,1,The Wire,Old Cases,"(2,737)",2002-06-23,2737
30 Jun. 2002,5,8.3,/title/tt0749450/,1,The Wire,The Pager,"(2,628)",2002-06-30,2628
7 Jul. 2002,6,8.3,/title/tt0749452/,1,The Wire,The Wire,"(2,794)",2002-07-07,2794
21 Jul. 2002,7,8.3,/title/tt0749438/,1,The Wire,One Arrest,"(2,585)",2002-07-21,2585
28 Jul. 2002,8,8.3,/title/tt0749433/,1,The Wire,Lessons,"(2,565)",2002-07-28,2565
4 Aug. 2002,9,8.3,/title/tt0749429/,1,The Wire,Game Day,"(2,660)",2002-08-04,2660
11 Aug. 2002,10,8.5,/title/tt0749447/,1,The Wire,The Cost,"(2,990)",2002-08-11,2990
18 Aug. 2002,11,8.3,/title/tt0749449/,1,The Wire,The Hunt,"(2,666)",2002-08-18,2666
1 Sep. 2002,12,8.4,/title/tt0749424/,1,The Wire,Cleaning Up,"(2,884)",2002-09-01,2884
8 Sep. 2002,13,8.3,/title/tt0749441/,1,The Wire,Sentencing,"(2,807)",2002-09-08,2807
1 Jun. 2003,1,7.8,/title/tt0749428/,2,The Wire,Ebb Tide,"(2,442)",2003-06-01,2442
8 Jun. 2003,2,8.0,/title/tt0749425/,2,The Wire,Collateral Damage,"(2,279)",2003-06-08,2279
15 Jun. 2003,3,8.1,/title/tt0749432/,2,The Wire,Hot Shots,"(2,203)",2003-06-15,2203
22 Jun. 2003,4,8.0,/title/tt0749430/,2,The Wire,Hard Cases,"(2,174)",2003-06-22,2174
29 Jun. 2003,5,8.2,/title/tt0749454/,2,The Wire,Undertow,"(2,123)",2003-06-29,2123
6 Jul. 2003,6,8.3,/title/tt0749419/,2,The Wire,All Prologue,"(2,420)",2003-07-06,2420
13 Jul. 2003,7,8.3,/title/tt0749422/,2,The Wire,Backwash,"(2,094)",2003-07-13,2094
27 Jul. 2003,8,8.3,/title/tt0749427/,2,The Wire,Duck and Cover,"(2,158)",2003-07-27,2158
3 Aug. 2003,9,8.3,/title/tt0749445/,2,The Wire,Stray Rounds,"(2,176)",2003-08-03,2176
10 Aug. 2003,10,8.3,/title/tt0749443/,2,The Wire,Storm Warnings,"(2,404)",2003-08-10,2404
17 Aug. 2003,11,8.4,/title/tt0749423/,2,The Wire,Bad Dreams,"(2,685)",2003-08-17,2685
24 Aug. 2003,12,8.3,/title/tt0749439/,2,The Wire,Port in a Storm,"(2,521)",2003-08-24,2521
19 Sep. 2004,1,8.1,/title/tt0749453/,3,The Wire,Time After Time,"(2,108)",2004-09-19,2108
26 Sep. 2004,2,8.3,/title/tt0749418/,3,The Wire,All Due Respect,"(2,080)",2004-09-26,2080
3 Oct. 2004,3,8.3,/title/tt0749426/,3,The Wire,Dead Soldiers,"(2,073)",2004-10-03,2073
10 Oct. 2004,4,8.3,/title/tt0749420/,3,The Wire,Hamsterdam,"(2,060)",2004-10-10,2060
17 Oct. 2004,5,8.3,/title/tt0749444/,3,The Wire,Straight and True,"(2,056)",2004-10-17,2056
31 Oct. 2004,6,8.3,/title/tt0749431/,3,The Wire,Homecoming,"(2,054)",2004-10-31,2054
7 Nov. 2004,7,8.3,/title/tt0749421/,3,The Wire,Back Burners,"(2,008)",2004-11-07,2008
14 Nov. 2004,8,8.3,/title/tt0749436/,3,The Wire,Moral Midgetry,"(2,165)",2004-11-14,2165
21 Nov. 2004,9,8.3,/title/tt0749442/,3,The Wire,Slapstick,"(2,050)",2004-11-21,2050
28 Nov. 2004,10,8.3,/title/tt0749440/,3,The Wire,Reformation,"(2,060)",2004-11-28,2060
12 Dec. 2004,11,8.9,/title/tt0749434/,3,The Wire,Middle Ground,"(3,143)",2004-12-12,3143
19 Dec. 2004,12,8.6,/title/tt0749435/,3,The Wire,Mission Accomplished,"(2,568)",2004-12-19,2568
10 Sep. 2006,1,8.3,/title/tt0763093/,4,The Wire,Boys of Summer,"(2,034)",2006-09-10,2034
17 Sep. 2006,2,8.3,/title/tt0763095/,4,The Wire,Soft Eyes,"(1,908)",2006-09-17,1908
24 Sep. 2006,3,8.3,/title/tt0763096/,4,The Wire,Home Rooms,"(1,947)",2006-09-24,1947
1 Oct. 2006,4,8.3,/title/tt0763097/,4,The Wire,Refugees,"(1,876)",2006-10-01,1876
8 Oct. 2006,5,8.3,/title/tt0763098/,4,The Wire,Alliances,"(1,898)",2006-10-08,1898
15 Oct. 2006,6,8.3,/title/tt0763099/,4,The Wire,Margin of Error,"(1,959)",2006-10-15,1959
29 Oct. 2006,7,8.3,/title/tt0758650/,4,The Wire,Unto Others,"(1,852)",2006-10-29,1852
5 Nov. 2006,8,8.3,/title/tt0796549/,4,The Wire,Corner Boys,"(1,896)",2006-11-05,1896
12 Nov. 2006,9,8.3,/title/tt0763100/,4,The Wire,Know Your Place,"(1,842)",2006-11-12,1842
19 Nov. 2006,10,8.3,/title/tt0763094/,4,The Wire,Misgivings,"(1,987)",2006-11-19,1987
26 Nov. 2006,11,8.3,/title/tt0782660/,4,The Wire,A New Day,"(2,052)",2006-11-26,2052
3 Dec. 2006,12,8.4,/title/tt0796551/,4,The Wire,That's Got His Own,"(2,307)",2006-12-03,2307
10 Dec. 2006,13,8.7,/title/tt0796550/,4,The Wire,Final Grades,"(2,917)",2006-12-10,2917
6 Jan. 2008,1,8.0,/title/tt0977178/,5,The Wire,More with Less,"(1,924)",2008-01-06,1924
13 Jan. 2008,2,8.1,/title/tt0985516/,5,The Wire,Unconfirmed Reports,"(1,817)",2008-01-13,1817
20 Jan. 2008,3,8.3,/title/tt0977180/,5,The Wire,Not for Attribution,"(1,855)",2008-01-20,1855
27 Jan. 2008,4,8.3,/title/tt0977181/,5,The Wire,Transitions,"(1,919)",2008-01-27,1919
3 Feb. 2008,5,8.3,/title/tt0977182/,5,The Wire,React Quotes,"(1,853)",2008-02-03,1853
10 Feb. 2008,6,8.3,/title/tt0977183/,5,The Wire,The Dickensian Aspect,"(1,791)",2008-02-10,1791
17 Feb. 2008,7,8.3,/title/tt0977184/,5,The Wire,Took,"(1,820)",2008-02-17,1820
24 Feb. 2008,8,8.2,/title/tt0977185/,5,The Wire,Clarifications,"(1,995)",2008-02-24,1995
2 Mar. 2008,9,8.4,/title/tt0977186/,5,The Wire,Late Editions,"(2,273)",2008-03-02,2273
9 Mar. 2008,10,8.8,/title/tt0977179/,5,The Wire,-30-,"(3,275)",2008-03-09,3275
19 Sep. 2006,0,8.6,/title/tt5827942/,1,Avatar: The Last Airbender,Avatar: The Last Airbender,(511),2006-09-19,511
21 Feb. 2005,1,8.2,/title/tt0801470/,1,Avatar: The Last Airbender,The Boy in the Iceberg,"(1,877)",2005-02-21,1877
21 Feb. 2005,2,8.4,/title/tt0772328/,1,Avatar: The Last Airbender,The Avatar Returns,"(1,633)",2005-02-21,1633
25 Feb. 2005,3,8.5,/title/tt0805800/,1,Avatar: The Last Airbender,The Southern Air Temple,"(1,556)",2005-02-25,1556
4 Mar. 2005,4,8.2,/title/tt0516776/,1,Avatar: The Last Airbender,The Warriors of Kyoshi,"(1,506)",2005-03-04,1506
18 Mar. 2005,5,8.3,/title/tt0760062/,1,Avatar: The Last Airbender,The King of Omashu,"(1,524)",2005-03-18,1524
25 Mar. 2005,6,8.1,/title/tt0516774/,1,Avatar: The Last Airbender,Imprisoned,"(1,477)",2005-03-25,1477
8 Apr. 2005,7,8.3,/title/tt0805801/,1,Avatar: The Last Airbender,"The Spirit World: Winter Solstice, Part 1","(1,448)",2005-04-08,1448
15 Apr. 2005,8,8.9,/title/tt0800734/,1,Avatar: The Last Airbender,"Avatar Roku: Winter Solstice, Part 2","(1,510)",2005-04-15,1510
29 Apr. 2005,9,8.1,/title/tt0822879/,1,Avatar: The Last Airbender,The Waterbending Scroll,"(1,398)",2005-04-29,1398
6 May 2005,10,8.0,/title/tt0516775/,1,Avatar: The Last Airbender,Jet,"(1,435)",2005-05-06,1435
20 May 2005,11,7.2,/title/tt0827262/,1,Avatar: The Last Airbender,The Great Divide,"(1,481)",2005-05-20,1481
3 Jun. 2005,12,9.0,/title/tt0829522/,1,Avatar: The Last Airbender,The Storm,"(1,581)",2005-06-03,1581
17 Jun. 2005,13,9.1,/title/tt0824795/,1,Avatar: The Last Airbender,The Blue Spirit,"(1,583)",2005-06-17,1583
23 Sep. 2005,14,8.0,/title/tt0516778/,1,Avatar: The Last Airbender,The Fortuneteller,"(1,377)",2005-09-23,1377
7 Oct. 2005,15,8.0,/title/tt0758992/,1,Avatar: The Last Airbender,Bato of the Water Tribe,"(1,349)",2005-10-07,1349
21 Oct. 2005,16,8.5,/title/tt0516777/,1,Avatar: The Last Airbender,The Deserter,"(1,357)",2005-10-21,1357
4 Nov. 2005,17,8.1,/title/tt0516779/,1,Avatar: The Last Airbender,The Northern Air Temple,"(1,325)",2005-11-04,1325
18 Nov. 2005,18,8.6,/title/tt0516782/,1,Avatar: The Last Airbender,The Waterbending Master,"(1,372)",2005-11-18,1372
2 Dec. 2005,19,9.4,/title/tt0516780/,1,Avatar: The Last Airbender,The Siege of the North,"(1,803)",2005-12-02,1803
17 Mar. 2006,1,8.7,/title/tt0762600/,2,Avatar: The Last Airbender,The Avatar State,"(1,366)",2006-03-17,1366
24 Mar. 2006,2,8.3,/title/tt0766472/,2,Avatar: The Last Airbender,The Cave of Two Lovers,"(1,368)",2006-03-24,1368
7 Apr. 2006,3,8.5,/title/tt0784201/,2,Avatar: The Last Airbender,Return to Omashu,"(1,289)",2006-04-07,1289
14 Apr. 2006,4,7.9,/title/tt0762601/,2,Avatar: The Last Airbender,The Swamp,"(1,326)",2006-04-14,1326
28 Apr. 2006,5,7.7,/title/tt0516772/,2,Avatar: The Last Airbender,Avatar Day,"(1,332)",2006-04-28,1332
5 May 2006,6,9.1,/title/tt0789294/,2,Avatar: The Last Airbender,The Blind Bandit,"(1,541)",2006-05-05,1541
12 May 2006,7,9.4,/title/tt0516783/,2,Avatar: The Last Airbender,Zuko Alone,"(1,837)",2006-05-12,1837
26 May 2006,8,8.9,/title/tt0805799/,2,Avatar: The Last Airbender,The Chase,"(1,373)",2006-05-26,1373
2 Jun. 2006,9,8.6,/title/tt0789293/,2,Avatar: The Last Airbender,Bitter Work,"(1,281)",2006-06-02,1281
14 Jul. 2006,10,8.8,/title/tt0829521/,2,Avatar: The Last Airbender,The Library,"(1,338)",2006-07-14,1338
14 Jul. 2006,11,8.8,/title/tt0829520/,2,Avatar: The Last Airbender,The Desert,"(1,328)",2006-07-14,1328
15 Sep. 2006,12,8.4,/title/tt0827261/,2,Avatar: The Last Airbender,The Serpent's Pass,"(1,260)",2006-09-15,1260
15 Sep. 2006,13,9.0,/title/tt0831940/,2,Avatar: The Last Airbender,The Drill,"(1,372)",2006-09-15,1372
22 Sep. 2006,14,8.7,/title/tt0516773/,2,Avatar: The Last Airbender,City of Walls and Secrets,"(1,296)",2006-09-22,1296
29 Sep. 2006,15,9.1,/title/tt0775583/,2,Avatar: The Last Airbender,The Tales of Ba Sing Se,"(1,850)",2006-09-29,1850
13 Oct. 2006,16,8.8,/title/tt0794679/,2,Avatar: The Last Airbender,Appa's Lost Days,"(1,373)",2006-10-13,1373
3 Nov. 2006,17,9.0,/title/tt0887307/,2,Avatar: The Last Airbender,Lake Laogai,"(1,363)",2006-11-03,1363
